ts,acc.x,acc.y,acc.z,acc.roll,acc.pitch,acc.impact,aqi.value,co2.ppm,co2.humidity,co2.temperature,env.humidity,env.temperature,gas.humidity,gas.pressure,gas.resistance,gas.temperature,gps.age,gps.alt,gps.lat,gps.lon,param,state,status,version,asset_id,config_ts,particles.mc_1p0,particles.mc_2p5,particles.mc_4p0,particles.nc_0p5,particles.nc_1p0,particles.nc_2p5,particles.nc_4p0,particles.mc_10p0,particles.nc_10p0,particles.typical_particle_size,fw_version.major,fw_version.minor,fw_version.patch
"2024-07-08, 9:44:26",0.055066638,0.30645782,10.113108,-1.7357045,0.31183365,0,103.469025,801,32.348,21.233,30.206299,23.26477,28.424,83.254,15218,24.16,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.329483,4.9811096,6.1875305,19.251589,24.974245,26.40442,26.649538,6.764069,26.804808,0.7340698,1,1,0
"2024-07-08, 9:45:27",0.05267244,0.30406362,10.120291,-1.720931,0.29806653,0,103.91316,801,32.266,21.287,30.206299,23.294983,28.28,83.26,15329,24.19,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.794571,5.5553284,6.7829895,22.132448,28.522097,30.031862,30.357058,7.399079,30.426878,0.71217346,1,1,0
"2024-07-08, 9:46:28",0.05746084,0.30645782,10.110714,-1.7361152,0.32546833,0,103.08504,804,32.278,21.335,30.194092,23.325195,28.253,83.264,15318,24.24,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.294693,4.6578674,5.6767883,19.516726,24.765749,26.081667,26.371218,6.154694,26.341429,0.69595337,1,1,0
"2024-07-08, 9:47:28",0.059855044,0.31124622,10.115502,-1.762391,0.33886397,0,103.949356,813,32.25,21.308,30.310059,23.294983,28.247,83.256,15533,24.27,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.8145905,5.3921204,6.4718323,22.854616,28.982058,30.262331,30.556765,7.029206,30.526976,0.69755554,1,1,0
"2024-07-08, 9:48:29",0.055066638,0.30406362,10.108319,-1.722968,0.31198347,0,104.05499,820,32.25,21.351,30.291748,23.38562,28.341,83.262,15498,24.25,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6215973,4.9723206,5.947418,21.812136,27.573854,28.732058,28.893679,6.4311833,28.979124,0.6826477,1,1,0
"2024-07-08, 9:49:30",0.055066638,0.31364042,10.113108,-1.7763594,0.31182683,0,105.47716,825,32.119,21.396,29.992676,23.335266,28.32,83.262,15487,24.31,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.2377014,5.735016,6.775421,25.821903,32.016853,33.640877,33.988533,7.2767644,33.792233,0.6743927,1,1,0
"2024-07-08, 9:50:31",0.050278235,0.30166942,10.113108,-1.7086005,0.2847222,0,103.84039,822,31.997,21.426,29.992676,23.405762,28.085,83.262,15579,24.31,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.572464,4.6789856,5.3906555,22.304323,27.392214,28.492311,28.608034,5.718781,28.550901,0.63490295,1,1,0
"2024-07-08, 9:51:31",0.05746084,0.29927522,10.113108,-1.6950481,0.3253983,0,104.80626,830,31.5,21.415,28.997803,23.415833,28.033,83.256,15579,24.35,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.5138702,4.525543,5.1705627,21.942019,26.953737,27.8678,27.983522,5.4890447,28.026487,0.63072205,1,1,0
"2024-07-08, 9:52:32",0.059855044,0.29927522,10.113108,-1.6950481,0.33895624,0,104.572655,836,31.707,21.442,30.096436,23.415833,27.28,83.256,15766,24.38,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.8714142,4.9480286,5.662262,24.227663,29.851686,30.721315,30.830202,6.029938,30.969358,0.6363678,1,1,0
"2024-07-08, 9:53:33",0.05746084,0.30406362,10.120291,-1.720931,0.32516292,0,108.68601,917,31.588,21.431,29.595947,23.415833,28.041,83.254,15742,24.38,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,2.8230133,3.6653595,4.219635,17.590944,21.684694,22.445436,22.541628,4.49173,22.517698,0.6574707,1,1,0
